"","station","depth","date","arrival.time.local","latitude.degrees","latitude.min.sec","longitude.degrees","longitude.min.sec","weather","secchi.depth.meters","secchi.on.bottom","station.depth.meters","sample.depth.meters","temperature.celcius","do.mgl","do.percent.saturation","salinity.ppt","pH.nbs","ph.mv","nitrate.plus.nitrite.uml","nitrite.uml","orthophosphate.uml","ammonia.uml","final.chlorophyll.concentration.ugl","doc.mgl","delta.13c","delta.15n","tss.mgl","percent.organic","comments.field","comments.nutrients","comments.chlorophyll","comments.doc","comments.isotopes"
"266",1,"mid",20150520,950,41,45.614,71,22.684,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",2.8,"n",8.1,3.9,14.55,8.29,95,29.06,7.68,NA,1.29,0.26,1.11,1.72,10.66,1.55,-22.61,10.5,4.72,44.07,NA,NA,NA,NA,NA
"267",1,"bottom",20150520,950,41,45.614,71,22.684,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",2.8,"n",8.1,7.7,13.51,7.88,91.2,30.02,7.66,NA,0.98,0.25,1.17,1.86,8.53,1.52,-22.41,10.24,5.46,41.62,NA,NA,NA,NA,NA
"268",2,"surface",20150520,915,41,41.938,71,19.555,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",2.9,"n",8.2,1,14.8,8.5,100.1,28.75,7.75,NA,0.58,0.21,1.19,1.57,4.44,1.6,-22.25,10.05,3.11,62.46,NA,NA,NA,NA,NA
"269",2,"mid",20150520,915,41,41.938,71,19.555,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",2.9,"n",8.2,4.2,14.07,7.48,88,30.2,7.63,NA,0.6,0.3,1.15,1.66,6.54,1.45,-22.15,10.12,4.16,49.66,NA,NA,NA,NA,NA
"270",2,"bottom",20150520,915,41,41.938,71,19.555,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",2.9,"n",8.2,7.2,11.87,7.68,87.1,31.67,7.62,NA,0.65,0.34,1.12,1.58,5.24,1.3,-22.24,9.38,3.48,52.67,NA,NA,NA,NA,NA
"271",3,"surface",20150520,1035,41,39.494,71,23.209,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",3.3,"n",5.9,1,14.48,8.03,94.6,30.57,7.65,NA,0.66,0.5,1.48,3.19,4.35,1.4,-22.49,8.24,4.44,39.88,NA,NA,NA,NA,NA
"272",3,"mid",20150520,1035,41,39.494,71,23.209,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",3.3,"n",5.9,3,14.48,7.96,94.2,30.55,7.65,NA,0.71,0.4,1.37,2.41,4.03,1.34,-22.37,8.66,7.35,37.24,NA,NA,NA,NA,NA
"273",3,"bottom",20150520,1035,41,39.494,71,23.209,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",3.3,"n",5.9,5.3,14.41,7.91,93.5,30.55,7.65,NA,0.68,0.45,1.26,2.11,3.74,1.44,-22.25,8.98,5.14,33.73,NA,NA,NA,NA,NA
"274",4,"surface",20150521,1018,41,35.903,71,22.91,"wind: calm, air temp: 16.56 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",11,1,13.89,8.59,100.7,31.15,7.78,NA,0.61,0.4,1.31,1.33,1.73,1.4,-23.43,7.9,14.74,19.4,NA,NA,NA,NA,NA
"275",4,"mid",20150521,1018,41,35.903,71,22.91,"wind: calm, air temp: 16.56 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",11,5.5,13.34,8.62,100.1,31.4,7.78,NA,0.6,0.38,1.19,1.31,2.67,1.48,-23.26,9.08,2.62,49.73,NA,NA,NA,NA,NA
"276",4,"bottom",20150521,1018,41,35.903,71,22.91,"wind: calm, air temp: 16.56 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",11,10.5,12.18,8.42,96,32.27,7.73,NA,0.64,0.38,1.45,1.77,3.21,1.18,-23.34,8.58,3.42,36.8,NA,NA,NA,NA,NA
"277",5,"surface",20150521,820,41,29.556,71,24.702,"wind: calm, air temp: 10 °C, sea state: NA, miscellaneous: partly sunny",4,"n",14.2,1,12.23,8.55,97.9,32.3,7.76,NA,0.83,0.38,1.18,1.78,1.69,1.27,-23.37,7.2,3.37,29.67,NA,NA,NA,NA,NA
"278",5,"mid",20150521,820,41,29.556,71,24.702,"wind: calm, air temp: 10 °C, sea state: NA, miscellaneous: partly sunny",4,"n",14.2,7,11.41,8.66,97.8,32.96,7.77,NA,0.78,0.4,1.16,1.8,1.7,1.01,-22.94,7.23,3.93,22.12,NA,NA,NA,NA,NA
"279",5,"bottom",20150521,820,41,29.556,71,24.702,"wind: calm, air temp: 10 °C, sea state: NA, miscellaneous: partly sunny",4,"n",14.2,14,11.36,8.61,97,33,7.77,NA,0.74,0.4,1.46,2.67,1.42,0.94,-22.11,8.64,8.51,16.09,NA,NA,NA,NA,NA
"280",6,"surface",20150520,840,41,38.519,71,18.594,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",10.5,1,14.02,8.71,101.5,30.25,7.69,NA,0.6,0.4,1.17,1.66,2.23,1.9,-23.08,8.65,2.8,55.52,NA,NA,NA,NA,NA
"281",6,"mid",20150520,840,41,38.519,71,18.594,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",10.5,5.2,12.41,8.68,98.6,31.49,7.67,NA,0.55,0.35,1.31,2.38,2.54,1.33,-23.16,8.62,5.31,42.11,NA,NA,NA,NA,NA
"282",6,"bottom",20150520,840,41,38.519,71,18.594,"wind: NW 10-15 knots, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",4.5,"n",10.5,10.4,11.28,8.67,97.2,32.29,7.66,NA,0.74,0.4,1.49,3.18,1.89,1.13,-22.22,8.02,9.07,14.77,NA,NA,NA,NA,NA
"283",7,"surface",20150521,943,41,33.995,71,18.655,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",5.9,"n",18,1,12.51,8.76,100.2,31.77,7.79,NA,0.71,0.42,1.17,1.57,1.46,1.36,-23.38,7.27,9.19,36.09,NA,NA,NA,NA,NA
"284",7,"mid",20150521,943,41,33.995,71,18.655,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",5.9,"n",18,9,11.44,8.79,98.9,32.84,7.78,NA,0.73,0.4,1.31,2.52,2.08,1.02,-23.57,7.63,1.03,79.07,NA,NA,NA,NA,NA
"285",7,"bottom",20150521,943,41,33.995,71,18.655,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: mostly sunny",5.9,"n",18,18,10.98,8.72,97.8,33.24,7.78,NA,0.73,0.42,1.15,1.99,0.98,0.99,-23.59,5.68,2.09,41.69,NA,NA,NA,NA,NA
"286",8,"surface",20150521,905,41,29.693,71,21.216,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",5.7,"n",32.7,1,12.06,8.87,101,32.33,7.79,NA,0.66,0.5,1.19,2.94,1.32,1.63,-24.46,7.14,0.69,96.34,NA,NA,NA,NA,NA
"287",8,"mid",20150521,905,41,29.693,71,21.216,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",5.7,"n",32.7,15.9,10.34,8.81,97.5,33.53,7.79,NA,0.67,0.42,1.17,2.52,1.16,1.44,-24.06,5.6,0.82,66.14,NA,NA,NA,NA,NA
"288",8,"bottom",20150521,905,41,29.693,71,21.216,"wind: calm, air temp: 12.78 °C, sea state: NA, miscellaneous: partly sunny",5.7,"n",32.7,26,9.68,8.8,96.5,33.92,7.79,NA,0.65,0.42,1.27,2.35,1.03,1.98,-23.4,6.07,4.33,20.15,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"289",1,"surface",20150623,933,41,45.605,71,22.69,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",6.1,1,20.99,7.15,93.4,25.47,7.7,NA,0.68,1.07,1.86,1.63,17.1,2.41,-22.3,11.76,3.98,74.03,NA,NA,NA,NA,NA
"290",1,"mid",20150623,933,41,45.605,71,22.69,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",6.1,3,19.64,4.48,58,28.43,7.47,NA,1.23,0.59,1.11,1.78,16.8,2.26,-22.32,11.43,3.95,67.61,NA,NA,NA,NA,NA
"291",1,"bottom",20150623,933,41,45.605,71,22.69,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",6.1,6,19.02,4.3,54.3,29.81,7.43,NA,1.17,0.55,1.11,1.64,10.82,2.09,-22.13,11.2,6.75,49.86,NA,NA,NA,NA,NA
"292",2,"surface",20150623,900,41,41.938,71,19.56,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",7.8,1,20.98,8.74,115.3,27.85,7.89,NA,0.64,0.49,0.84,0.96,13.89,2.27,-22.31,11.27,4.11,66.98,NA,NA,NA,NA,NA
"293",2,"mid",20150623,900,41,41.938,71,19.56,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",7.8,3.4,19.6,5.48,71,30.56,7.54,NA,0.44,0.33,0.91,0.93,11.96,1.84,-21.75,11.01,4.33,54.87,NA,NA,NA,NA,NA
"294",2,"bottom",20150623,900,41,41.938,71,19.56,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",1.5,"n",7.8,8.2,18.35,5.62,72.4,31.48,7.6,NA,0.58,0.35,0.98,1,9.14,1.71,-22.16,10.57,3.07,43,NA,NA,NA,NA,NA
"295",3,"surface",20150623,1015,41,39.503,71,23.204,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",2,"n",5.2,NA,NA,NA,NA,NA,NA,NA,0.53,0.34,1,1.29,8.94,1.98,-22.72,10.33,1.48,98,"sonde malfunction, data not available",NA,NA,NA,NA
"296",3,"mid",20150623,1015,41,39.503,71,23.204,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",2,"n",5.2,NA,NA,NA,NA,NA,NA,NA,0.61,0.47,0.88,0.76,8.45,1.9,-22.62,10.64,2.66,68.81,"sonde malfunction, data not available",NA,NA,NA,NA
"297",3,"bottom",20150623,1015,41,39.503,71,23.204,"wind: S 10-15 knots, air temp: NA, sea state: NA, miscellaneous: partly cloudy",2,"n",5.2,NA,NA,NA,NA,NA,NA,NA,0.58,0.47,1.08,0.82,7.06,1.9,-22.5,10.47,1.8,62.94,"sonde malfunction, data not available",NA,NA,NA,NA
"298",4,"surface",20150624,1027,41,35.884,71,22.894,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",2.5,"n",10,1,20.93,7.85,105.1,30.63,7.79,NA,0.66,0.5,0.64,0.67,4.49,1.86,-22.94,9.5,1.18,93.92,NA,NA,NA,NA,NA
"299",4,"mid",20150624,1027,41,35.884,71,22.894,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",2.5,"n",10,5,20,7.17,94.9,31.08,7.74,NA,0.62,0.48,0.8,0.69,4.94,1.71,-23.28,9.87,0.98,96.34,NA,NA,NA,NA,NA
"300",4,"bottom",20150624,1027,41,35.884,71,22.894,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",2.5,"n",10,9.4,18.68,5.48,70.9,31.68,7.6,NA,0.56,0.41,0.84,0.9,4.29,1.71,-23.39,9.66,2.13,55.4,NA,NA,NA,NA,NA
"301",5,"surface",20150624,815,41,29.561,71,24.7,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.1,"n",13.9,1,19.74,7.3,96.3,31.56,7.69,NA,0.72,0.47,0.92,0.88,5.9,1.62,-22.48,9.2,2.46,43.99,NA,NA,NA,NA,NA
"302",5,"mid",20150624,815,41,29.561,71,24.7,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.1,"n",13.9,6,19.36,7.02,92.1,31.8,7.68,NA,0.74,0.41,0.93,1.04,5.54,1.54,-22.11,8.89,3.04,44.79,NA,NA,NA,NA,NA
"303",5,"bottom",20150624,815,41,29.561,71,24.7,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.1,"n",13.9,12.2,18.09,6.91,88.8,32.46,7.7,NA,0.78,0.43,1.01,1.4,4.98,1.41,-21.11,9.8,5.13,25.32,NA,NA,NA,NA,NA
"304",6,"surface",20150623,825,41,38.512,71,18.589,"wind: 5 knots, air temp: 20 °C, sea state: NA, miscellaneous: partly cloudy",2,"n",9.7,1,21.54,9.07,121.4,28.2,7.91,NA,0.8,0.61,0.79,0.8,8.2,1.36,-22.58,10.08,1.2,100,NA,NA,NA,NA,NA
"305",6,"mid",20150623,825,41,38.512,71,18.589,"wind: 5 knots, air temp: 20 °C, sea state: NA, miscellaneous: partly cloudy",2,"n",9.7,5,18.85,6.69,85.5,31.29,7.67,NA,0.72,0.64,1.03,0.92,7.04,2.13,-22.61,9.85,1.28,79.72,NA,NA,NA,NA,NA
"306",6,"bottom",20150623,825,41,38.512,71,18.589,"wind: 5 knots, air temp: 20 °C, sea state: NA, miscellaneous: partly cloudy",2,"n",9.7,9.7,17.54,6.35,80,32.13,7.66,NA,0.88,0.42,1.02,1.02,6.18,1.77,-22.58,9.97,1.57,64.53,NA,NA,NA,NA,NA
"307",7,"surface",20150624,955,41,33.99,71,18.667,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.4,"n",17.3,1,20.04,7.74,101.9,30.97,7.78,NA,2.92,0.46,0.84,0.82,6.1,1.63,-22.61,9.81,1.56,85.88,NA,NA,NA,NA,NA
"308",7,"mid",20150624,955,41,33.99,71,18.667,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.4,"n",17.3,8.8,18.34,7.14,92.9,32.2,7.74,NA,0.75,0.45,0.95,0.86,5.43,1.69,-22.79,9.56,1.53,61.62,NA,NA,NA,NA,NA
"309",7,"bottom",20150624,955,41,33.99,71,18.667,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.4,"n",17.3,16,17.28,6.96,88.3,32.78,7.74,NA,0.79,0.46,0.94,0.81,5.71,1.32,NA,NA,1.93,53.44,NA,NA,NA,NA,NA
"310",8,"surface",20150624,910,41,29.682,71,21.229,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.5,"n",31.5,1,NA,NA,NA,NA,NA,NA,0.66,0.48,0.83,1.32,3.61,1.47,-23.3,8.97,0.93,100,"sonde malfunction, data not available",NA,NA,NA,NA
"311",8,"mid",20150624,910,41,29.682,71,21.229,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.5,"n",31.5,14.8,NA,NA,NA,NA,NA,NA,0.86,0.5,1.2,1.53,3.18,1.55,-23.47,7.79,1.45,52.32,"sonde malfunction, data not available",NA,NA,NA,NA
"312",8,"bottom",20150624,910,41,29.682,71,21.229,"wind: NW 10-15 knots, air temp: NA, sea state: NA, miscellaneous: clear, mostly sunny",3.5,"n",31.5,22,NA,NA,NA,NA,NA,NA,1.03,0.54,0.91,1.52,1.87,1.22,-22.92,7.64,1.85,35.32,"sonde cable insufficient to reach bottom, sonde malfunction, data not available",NA,NA,NA,NA
"313",1,"surface",20150723,1025,41,45.6,71,22.69,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,1,22.63,6.15,83.1,27.48,7.75,-53.1,1.25,0.45,3.72,1.84,1.1,2.63,-20.97,13.12,2.41,93.15,NA,NA,NA,NA,NA
"314",1,"mid",20150723,1025,41,45.6,71,22.69,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,3,21.85,2.82,38.3,30.2,7.46,-36.5,1.47,0.45,1.3,1.13,1.13,2.23,-20.97,12.91,2.68,98.37,NA,NA,NA,NA,NA
"315",1,"bottom",20150723,1025,41,45.6,71,22.69,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,5.5,21.06,3.26,43.9,31.05,7.51,-39.4,1.36,0.39,1.6,0.95,1.17,2.46,-20.88,13.14,9.99,91.58,NA,NA,NA,NA,NA
"316",2,"surface",20150723,948,41,41.935,71,19.565,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,1,23.32,8.13,NA,27.58,7.96,-65.8,0.74,0.38,1.38,0.89,1.21,2.45,-20.44,12.31,11.97,64.01,NA,NA,NA,NA,NA
"317",2,"mid",20150723,948,41,41.935,71,19.565,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,3,23.18,6.5,90,28.96,7.81,-56.8,0.7,0.32,2.3,1.43,1.33,2.34,-20.41,12.53,3.64,91.02,NA,NA,NA,NA,NA
"318",2,"bottom",20150723,948,41,41.935,71,19.565,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.2,"n",6.2,5.5,20.15,4.75,62.8,31.74,7.67,-48.1,1.8,0.29,2.22,1.55,0.88,2.17,-20.66,12.2,3.33,84.01,NA,NA,NA,NA,NA
"319",3,"surface",20150723,919,41,39.506,71,23.2,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",5,1,23.58,6.65,92.6,29.73,7.8,-56.2,0.69,0.28,1.25,1.02,0.54,1.94,-20.59,11.5,11.59,59.13,NA,NA,NA,NA,NA
"320",3,"mid",20150723,919,41,39.506,71,23.2,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",5,2.5,22.93,4.3,59.1,30.37,7.61,-44.9,0.69,0.25,1.05,1.16,0.41,1.78,-20.8,12.49,2.09,97.95,NA,NA,NA,NA,NA
"321",3,"bottom",20150723,919,41,39.506,71,23.2,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",5,4.5,22.22,4,55,30.78,7.57,-42.9,0.8,0.3,1.18,1.68,0.41,1.81,-20.86,11.79,2.21,91.53,NA,NA,NA,NA,NA
"322",4,"surface",20150722,1055,41,35.891,71,22.904,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2,"n",10.7,1,24.01,7.53,106,30.04,7.86,-60.2,0.71,0.3,1.68,1.82,0.43,1.82,-22.26,10.87,1.38,91.34,NA,NA,NA,NA,NA
"323",4,"mid",20150722,1055,41,35.891,71,22.904,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2,"n",10.7,5.5,22.29,5.72,77.5,31.09,7.71,-50.8,0.34,0.14,1.79,2.02,0.74,1.74,-22.39,11.4,1.45,75.76,NA,NA,NA,NA,NA
"324",4,"bottom",20150722,1055,41,35.891,71,22.904,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2,"n",10.7,10.5,20.42,4.71,60.7,31.78,7.62,-45.9,1.11,0.49,1.14,2.62,0.67,1.48,-21.64,11.44,6.5,18.61,NA,NA,NA,NA,NA
"325",5,"surface",20150722,825,41,29.575,71,24.697,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",14.1,1,22.54,6.48,89.7,31.16,7.74,-53,1.11,0.52,1.82,3.48,0.63,1.63,-22.92,9.05,2.25,63.04,NA,NA,NA,NA,NA
"326",5,"mid",20150722,825,41,29.575,71,24.697,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",14.1,7,20.65,6.39,85.7,31.85,7.75,-53.3,1.03,0.57,1.91,4.11,0.59,1.53,-22.77,9.88,2.76,41.35,NA,NA,NA,NA,NA
"327",5,"bottom",20150722,825,41,29.575,71,24.697,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",14.1,14,18.77,6.61,86.1,32.48,7.79,-54.9,1.1,0.62,1.08,2.33,0.29,1.17,-21.07,9.88,9.14,19.77,NA,NA,NA,NA,NA
"328",6,"surface",20150723,NA,41,38.498,71,18.582,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.8,"n",9.6,1,23.74,7.79,108.5,28.74,7.94,-64.7,0.64,0.44,1.12,0.94,1.98,2.08,-21.64,11.04,2.99,82.94,NA,NA,NA,NA,NA
"329",6,"mid",20150723,NA,41,38.498,71,18.582,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.8,"n",9.6,4.8,22.75,5.01,74.1,30.55,7.71,-50.1,0.63,0.5,1.61,1.36,1.79,2.07,-21.67,10.89,2.17,100,NA,NA,NA,NA,NA
"330",6,"bottom",20150723,NA,41,38.498,71,18.582,"wind: NA, air temp: NA, sea state: NA, miscellaneous: sunny",1.8,"n",9.6,9.1,18.97,6.04,78.4,32.27,7.76,-53.6,0.84,0.58,1.01,1.18,1.12,1.63,-21.26,11.24,3.58,52.43,NA,NA,NA,NA,NA
"331",7,"surface",20150722,1010,41,34.001,71,18.656,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",17.6,1,22.95,7.34,101.8,30.54,7.85,-59.4,0.67,0.61,0.91,0.88,0.86,1.65,-22.74,9.97,0.73,100,NA,NA,NA,NA,NA
"332",7,"mid",20150722,1010,41,34.001,71,18.656,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",17.6,8.5,19.17,6.75,88.5,32.28,7.81,-56.2,0.86,0.67,1.64,2.37,0.46,1.33,-22.87,9.87,1.92,59.44,NA,NA,NA,NA,NA
"333",7,"bottom",20150722,1010,41,34.001,71,18.656,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",1.6,"n",17.6,17,18.24,6.62,85.1,32.6,7.77,-54.2,0.88,0.77,0.88,1.2,0.53,1.26,-22.62,10.19,2.3,44.87,NA,NA,NA,NA,NA
"334",8,"surface",20150722,921,41,29.691,71,21.209,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",32.2,1,22.02,7.36,100.9,31.18,7.84,-58.7,0.69,0.83,1.72,1.83,0.34,1.44,-23.96,10.31,2.1,72.94,NA,NA,NA,NA,NA
"335",8,"mid",20150722,921,41,29.691,71,21.209,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",32.2,15,17.65,6.61,84.5,32.76,7.78,-54.6,1.12,0.41,0.93,1.3,0.22,1.1,-23.08,9.17,2.01,62.55,NA,NA,NA,NA,NA
"336",8,"bottom",20150722,921,41,29.691,71,21.209,"wind: NW 10 knots, air temp: NA, sea state: NA, miscellaneous: sunny",2.5,"n",32.2,22.9,16.95,6.28,79.4,32.92,7.75,-52.9,1.33,0.44,1.16,1.95,0.21,1.04,-22.86,9.15,3.57,35.2,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"337",1,"surface",20150819,942,41,45.6,71,22.688,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly sunny,fog",1.4,"n",6.4,1,26.3,6.78,98.3,27.22,7.33,-59.6,0.83,0.38,3.99,3.96,25.98,22.6,-20.45,11.96,3.27,48.49,NA,NA,NA,NA,NA
"338",1,"mid",20150819,942,41,45.6,71,22.688,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly sunny,fog",1.4,"n",6.4,3.2,25.83,5.99,85.7,28.44,7.27,-55.9,0.72,0.24,3.63,2.73,27.09,22.75,-20.25,11.15,2.83,37.87,NA,NA,NA,NA,NA
"339",1,"bottom",20150819,942,41,45.6,71,22.688,"wind: S 10 knots, air temp: NA, sea state: NA, miscellaneous: partly sunny,fog",1.4,"n",6.4,5.5,24.77,4.15,59.1,29.45,7.08,-44.4,0.59,0.26,3.68,2.65,19.78,2.46,-20.57,12.02,3.12,50.36,NA,NA,NA,NA,NA
"340",2,"surface",20150819,858,41,41.94,71,19.568,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.6,"n",6.5,1,25.6,7.67,111.5,29.86,7.44,-65.7,0.64,0.26,2.76,2.49,9.66,1.94,-21.49,9.44,1.27,10.17,NA,NA,NA,NA,NA
"341",2,"mid",20150819,858,41,41.94,71,19.568,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.6,"n",6.5,3.2,25.07,7.24,104.4,30.34,7.37,-61.6,0.7,0.32,2.66,2.52,9.64,1.97,-21.07,10.72,1.31,0,NA,NA,NA,NA,NA
"342",2,"bottom",20150819,858,41,41.94,71,19.568,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.6,"n",6.5,6,24.41,4.98,71,30.65,7.14,-47.8,0.66,0.35,2.79,2.52,9.5,2.05,-21.01,10.93,1.5,30.51,NA,NA,NA,NA,NA
"343",3,"surface",20150819,1021,41,39.508,71,23.205,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.4,"n",5.4,1,25.42,7.51,108.1,30.8,7.33,-58.7,0.72,0.35,2.78,2.72,13.7,1.85,-21.46,10.5,2.31,36.14,NA,NA,NA,NA,NA
"344",3,"mid",20150819,1021,41,39.508,71,23.205,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.4,"n",5.4,2.7,25.05,6.97,100.6,30.84,7.29,-56.8,0.69,0.32,2.8,2.7,14.47,1.8,-21.47,10.3,2.26,36.81,NA,NA,NA,NA,NA
"345",3,"bottom",20150819,1021,41,39.508,71,23.205,"wind: S 10 knots, air temp: 23.89, sea state: NA, miscellaneous: partly sunny,fog",2.4,"n",5.4,5,24.98,6.61,95.3,30.82,7.26,-54.9,0.77,0.25,2.12,1.81,10.99,1.98,-21.15,8.6,3.09,0,NA,NA,NA,NA,NA
"346",4,"surface",20150818,1031,41,35.895,71,22.898,"wind: SW 10 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.75,"n",6.5,1,24.2,7.97,113.4,31.19,7.4,-63.4,0.6,0.34,2.24,2.17,6.87,1.83,-22.92,9.41,7.91,45.94,NA,NA,NA,NA,NA
"347",4,"mid",20150818,1031,41,35.895,71,22.898,"wind: SW 10 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.75,"n",6.5,3.2,23.92,7.69,109.1,31.29,7.4,-62.9,0.7,0.4,2.53,2.59,8.47,1.67,-22.58,9.75,1.63,77.04,NA,NA,NA,NA,NA
"348",4,"bottom",20150818,1031,41,35.895,71,22.898,"wind: SW 10 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.75,"n",6.5,6,23.47,7.06,99.2,31.44,7.35,-60.4,0.55,0.39,2.57,3.04,7.31,1.47,-21.73,9.95,3.7,34.15,NA,NA,NA,NA,NA
"349",5,"surface",20150818,815,41,29.561,71,24.691,"wind: SW 10 knots, air temp: 23.89, sea state: NA, miscellaneous: mostly sunny",2.25,"n",14.5,1,22.49,6.82,94.6,31.83,7.24,-54.2,0.75,0.56,2.54,3.6,6.48,1.35,-22.18,8.83,3.56,23.6,NA,NA,NA,NA,NA
"350",5,"mid",20150818,815,41,29.561,71,24.691,"wind: SW 10 knots, air temp: 23.89, sea state: NA, miscellaneous: mostly sunny",2.25,"n",14.5,7.2,21.31,6.74,91.7,32.22,7.28,-55.5,0.77,0.68,2.6,4.71,4.88,1.4,-21.59,9.36,5.99,21.49,NA,NA,NA,NA,NA
